                       x                       y                  E(x,y)
  3.6363636363636365E-01  1.0101010101010102E-02  1.2079787961875567E-05
  3.7373737373737376E-01  1.0101010101010102E-02  7.7458414279180415E-06
  3.8383838383838387E-01  1.0101010101010102E-02  3.3407502082851351E-06
  3.9393939393939398E-01  1.0101010101010102E-02  1.1156067463262776E-06
  4.0404040404040409E-01  1.0101010101010102E-02  5.6036171144150149E-06
  4.1414141414141420E-01  1.0101010101010102E-02  1.0104493682403214E-05
  4.2424242424242425E-01  1.0101010101010102E-02  1.4598413385041435E-05
  4.3434343434343436E-01  1.0101010101010102E-02  1.9066328741934902E-05
  4.4444444444444448E-01  1.0101010101010102E-02  2.3490149775829607E-05
  4.5454545454545459E-01  1.0101010101010102E-02  2.7850583279159394E-05
  4.6464646464646470E-01  1.0101010101010102E-02  3.2129603107067444E-05
  4.7474747474747481E-01  1.0101010101010102E-02  3.6309604643165852E-05
  4.8484848484848486E-01  1.0101010101010102E-02  4.0373194682934129E-05
  4.9494949494949497E-01  1.0101010101010102E-02  4.4304083283856450E-05
  5.0505050505050508E-01  1.0101010101010102E-02  4.8086428000002864E-05
  5.1515151515151525E-01  1.0101010101010102E-02  5.1704478344745790E-05
  5.2525252525252530E-01  1.0101010101010102E-02  5.5143784909464780E-05
  5.3535353535353536E-01  1.0101010101010102E-02  5.8391444558340631E-05
  5.4545454545454553E-01  1.0101010101010102E-02  6.1434149746998759E-05
  5.5555555555555558E-01  1.0101010101010102E-02  6.4260410769442967E-05
  5.6565656565656575E-01  1.0101010101010102E-02  6.6859225752266264E-05
  5.7575757575757580E-01  1.0101010101010102E-02  6.9220339350887320E-05
  5.8585858585858586E-01  1.0101010101010102E-02  7.1337005436487061E-05
  5.9595959595959602E-01  1.0101010101010102E-02  7.3199675253671407E-05
  6.0606060606060608E-01  1.0101010101010102E-02  7.4802366740405114E-05
  6.1616161616161624E-01  1.0101010101010102E-02  7.6140602448016427E-05
  6.2626262626262630E-01  1.0101010101010102E-02  7.7210614583565274E-05
  6.3636363636363646E-01  1.0101010101010102E-02  7.8008807292678998E-05
  6.4646464646464652E-01  1.0101010101010102E-02  7.8532576112620080E-05
  6.5656565656565657E-01  1.0101010101010102E-02  7.8785542225025363E-05
  6.6666666666666674E-01  1.0101010101010102E-02  7.8764996739868830E-05
  6.7676767676767680E-01  1.0101010101010102E-02  7.8474321755138586E-05
